,LSOA11CD,name,total,geometry,id,lon,lat
139,E01000143,Barnet 041D,1559,POINT (-0.2083963846535764 51.5580266956954),139,-0.2083963846535764,51.5580266956954
140,E01000144,Barnet 038C,1798,POINT (-0.1990289308921517 51.57416106690408),140,-0.1990289308921517,51.57416106690408
141,E01000145,Barnet 037A,1736,POINT (-0.2055504833452629 51.572657604764004),141,-0.20555048334526294,51.572657604764004
142,E01000146,Barnet 038D,2180,POINT (-0.1976737855505624 51.5704143555989),142,-0.19767378555056245,51.5704143555989
143,E01000147,Barnet 030A,1886,POINT (-0.249303730665746 51.58979848980909),143,-0.24930373066574596,51.58979848980909
144,E01000148,Barnet 030B,3180,POINT (-0.2544656021115688 51.59263588992257),144,-0.25446560211156877,51.59263588992257
145,E01000150,Barnet 036A,2239,POINT (-0.2433451936736505 51.584938544315534),145,-0.24334519367365054,51.584938544315534
146,E01000151,Barnet 026B,1766,POINT (-0.2428943114210152 51.601407364791164),146,-0.24289431142101522,51.601407364791164
147,E01000152,Barnet 026C,2042,POINT (-0.24384569852483 51.604587398194084),147,-0.24384569852483004,51.604587398194084
148,E01000153,Barnet 026D,1767,POINT (-0.2480349003182599 51.604026702869845),148,-0.24803490031825987,51.604026702869845
149,E01000154,Barnet 026E,1765,POINT (-0.2444865044429651 51.59869776184812),149,-0.2444865044429651,51.59869776184812
150,E01000155,Barnet 030D,5236,POINT (-0.2506692053613625 51.59609698071648),150,-0.2506692053613625,51.59609698071648
151,E01000156,Barnet 022A,2195,POINT (-0.1486137335867116 51.60044054469668),151,-0.14861373358671162,51.60044054469668
152,E01000157,Barnet 022B,1661,POINT (-0.145079802127696 51.60321258373902),152,-0.145079802127696,51.60321258373902
153,E01000158,Barnet 015A,1492,POINT (-0.1517556777161423 51.617666225292474),153,-0.15175567771614232,51.617666225292474
154,E01000159,Barnet 015B,1809,POINT (-0.1580598649337662 51.618755950563276),154,-0.15805986493376617,51.618755950563276
155,E01000160,Barnet 015C,2242,POINT (-0.1450401157150267 51.613336563320786),155,-0.1450401157150267,51.613336563320786
156,E01000161,Barnet 015D,2433,POINT (-0.1524704723281366 51.61349196320133),156,-0.15247047232813662,51.61349196320133
157,E01000162,Barnet 015E,1623,POINT (-0.1582820077199978 51.612059579030515),157,-0.15828200771999779,51.612059579030515
158,E01000163,Barnet 022C,1730,POINT (-0.1451599174222433 51.60777184185864),158,-0.1451599174222433,51.60777184185864
